elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
14.2,2096,169,851,76
14.3,2098,172,852,78
14.4,2097,162,851,73
14.5,2104,166,851,80
14.7,2099,171,851,76
14.8,2103,168,850,79
14.9,2096,172,852,79
15.0,2100,172,853,75
15.1,2100,163,851,74
15.3,2099,172,851,79
15.4,2093,168,851,76
15.5,2091,173,851,78
15.6,2086,171,850,76
15.7,2096,173,851,79
15.9,2099,168,850,75
16.0,2099,173,850,77
16.1,2097,172,852,81
16.2,2099,172,851,77
16.3,2094,168,852,77
16.5,2100,173,851,80
16.6,2099,171,851,79
16.7,2096,172,850,81
16.8,2096,170,849,77
16.9,2098,174,849,80
17.1,2097,170,851,77
17.2,2100,172,850,80
17.3,2097,172,849,78
17.4,2093,172,849,81
17.5,2100,168,849,81
17.7,2095,172,849,82
17.8,2095,168,849,79
17.9,2096,172,849,82
18.0,2095,169,849,79
18.1,2101,174,849,80
18.3,2098,170,849,80
18.4,2111,172,849,83
18.5,2098,174,848,79
18.6,2098,170,848,83
18.7,2100,164,848,78
18.9,2100,167,847,80
19.0,2098,164,848,80
19.1,2098,170,847,81
19.2,2101,169,846,76
19.3,2096,171,848,80
19.5,2097,170,847,79
19.6,2099,173,847,81
19.7,2102,172,847,85
19.8,2100,168,846,83
19.9,2096,162,847,78
20.1,2097,167,845,81
20.2,2097,165,847,80
20.3,2098,166,845,81
20.4,2100,168,844,78
20.5,2101,169,846,77
20.7,2097,163,845,78
20.8,2098,171,845,81
20.9,2099,170,846,81
21.0,2097,168,845,81
21.1,2099,162,845,78
21.3,2098,172,844,81
21.4,2099,167,843,76
21.5,2101,169,844,80
21.6,2098,167,841,76
21.7,2098,171,842,82
21.9,2094,169,839,78
22.0,2103,171,843,77
22.1,2094,173,842,77
22.2,2097,171,843,78
22.3,2105,167,841,79
22.5,2098,172,842,81
22.6,2102,167,840,77
22.7,2103,171,841,79
22.8,2091,169,841,77
22.9,2107,171,841,80
23.1,2101,168,840,78
23.2,2098,173,839,78
23.3,2099,173,837,77
23.4,2099,172,838,76
23.5,2097,170,839,77
23.7,2103,171,839,77
23.8,2100,168,839,80
23.9,2095,170,838,79
24.0,2097,169,838,78
24.1,2097,171,838,80
24.3,2089,170,838,78
24.4,2100,172,838,81
24.5,2096,173,837,81
24.6,2098,173,838,80
24.7,2096,170,836,77
24.9,2099,173,835,76
25.0,2097,170,836,77
25.1,2102,171,835,78
25.2,2100,169,834,79
25.3,2098,173,834,77
25.5,2098,173,834,77
25.6,2098,173,833,76
25.7,2104,173,835,77
25.8,2098,173,834,80
25.9,2099,168,834,77
26.1,2100,171,834,80
26.2,2097,169,834,76
26.3,2099,171,836,78
26.4,2097,170,835,76
26.5,2099,173,834,76
26.7,2100,169,832,74
26.8,2098,170,832,79
26.9,2100,171,834,80
27.0,2097,169,834,79
27.1,2096,167,834,77
27.3,2096,171,833,80
27.4,2089,166,832,74
27.5,2100,169,832,77
27.6,2092,166,832,75
27.7,2105,166,831,80
27.9,2098,161,831,75
28.0,2105,168,830,79
28.1,2097,170,832,79
28.2,2099,169,830,79
28.3,2098,167,829,75
28.5,2102,168,829,78
28.6,2101,166,828,76
28.7,2095,168,828,77
28.8,2096,165,826,76
28.9,2104,168,826,80
29.1,2096,166,826,76
29.2,2103,169,828,78
29.3,2100,169,827,79
29.4,2099,169,825,79
29.5,2098,166,825,74
29.7,2097,169,825,79
29.8,2099,166,825,79
29.9,2100,168,826,78
