elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
0.0,522,154,322,92
0.1,1982,170,762,88
0.3,2077,170,846,87
0.4,2086,170,874,88
0.5,2098,169,887,89
0.6,2092,163,891,91
0.7,2094,162,893,84
0.9,2094,169,892,85
1.0,2092,167,894,86
1.1,2094,170,895,83
1.2,2092,167,892,84
1.3,2094,169,893,84
1.5,2094,166,890,83
1.6,2094,170,891,84
1.7,2095,169,891,83
1.8,2097,170,891,86
1.9,2094,167,889,85
2.1,2093,170,888,83
2.2,2096,167,887,82
2.3,2095,170,886,82
2.4,2096,166,885,84
2.5,2092,169,884,84
2.7,2092,166,885,86
2.8,2099,171,881,84
2.9,2093,170,881,83
3.0,2096,169,879,83
3.1,2094,167,878,84
3.3,2095,170,879,82
3.4,2099,167,878,84
3.5,2095,168,877,82
3.6,2095,165,877,80
3.7,2094,170,875,84
3.9,2094,166,876,84
4.0,2098,170,877,84
4.1,2099,169,874,82
4.2,2094,169,874,83
4.3,2096,166,874,85
4.5,2092,169,875,83
4.6,2094,167,874,83
4.7,2097,171,872,82
4.8,2097,168,872,83
4.9,2094,171,872,83
5.1,2098,169,871,82
5.2,2098,170,872,82
5.3,2096,171,872,83
5.4,2099,171,872,82
5.5,2096,169,869,82
5.7,2100,171,869,82
5.8,2091,167,869,79
5.9,2095,171,867,80
6.0,2097,168,866,83
6.1,2097,171,867,82
6.3,2097,167,867,81
6.4,2094,170,866,81
6.5,2094,170,866,81
6.6,2095,170,866,80
6.7,2097,164,866,79
6.9,2101,171,863,81
7.0,2098,167,863,85
7.1,2093,171,864,79
7.2,2097,168,864,77
7.3,2093,172,864,82
7.5,2096,168,864,77
7.6,2090,171,862,82
7.7,2095,172,863,79
7.8,2102,173,862,79
7.9,2095,170,862,78
8.1,2097,173,862,82
8.2,2099,169,861,81
8.3,2096,171,862,78
8.4,2097,169,862,80
8.5,2090,172,861,80
8.7,2100,169,860,76
8.8,2095,171,860,80
8.9,2097,170,859,79
9.0,2098,170,860,79
9.1,2104,168,860,77
9.3,2097,171,859,79
9.4,2101,169,859,74
9.5,2096,171,858,78
9.6,2097,171,858,80
9.7,2098,172,859,80
9.9,2096,169,857,77
10.0,2095,170,855,79
10.1,2097,173,857,81
10.2,2095,172,856,80
10.3,2098,169,857,79
10.5,2098,171,857,79
10.6,2097,169,856,77
10.7,2095,167,858,81
10.8,2097,163,856,76
10.9,2095,172,856,82
11.1,2094,165,853,79
11.2,2091,170,855,83
11.3,2098,173,854,82
11.4,2095,170,855,82
11.5,2099,169,853,77
11.7,2100,172,853,83
11.8,2098,170,854,78
11.9,2098,173,855,77
12.0,2101,170,855,81
12.1,2097,172,853,79
12.3,2098,169,854,74
12.4,2095,173,854,79
12.5,2098,173,855,79
12.6,2091,173,854,79
12.7,2097,171,854,76
12.9,2100,173,854,79
13.0,2098,169,853,78
13.1,2095,172,852,77
13.2,2098,170,852,76
13.3,2096,172,853,79
13.5,2100,165,853,77
13.6,2094,166,852,80
13.7,2098,173,851,79
13.8,2098,172,850,79
13.9,2099,169,852,77
14.1,2093,172,851,80
