elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
14.4,2408,168,1168,113
14.5,2407,168,1168,114
14.7,2407,165,1169,113
14.8,2407,164,1168,113
14.9,2407,166,1169,114
15.0,2407,164,1168,113
15.1,2405,164,1167,113
15.3,2406,163,1168,113
15.4,2405,162,1169,113
15.5,2405,162,1170,114
15.6,2406,161,1169,114
15.7,2407,163,1169,114
15.9,2407,160,1170,113
16.0,2407,162,1171,114
16.1,2406,161,1170,113
16.2,2405,161,1170,112
16.3,2406,162,1168,113
16.5,2407,161,1169,114
16.6,2407,162,1169,112
16.7,2409,161,1168,112
16.8,2406,161,1168,112
16.9,2407,161,1169,112
17.1,2406,163,1169,112
17.2,2407,162,1170,112
17.3,2407,162,1169,113
17.4,2406,162,1170,112
17.5,2408,161,1169,112
17.7,2405,173,1168,114
17.8,2406,171,1168,110
17.9,2407,174,1169,114
18.0,2406,176,1170,110
18.1,2407,175,1168,110
18.3,2407,176,1170,110
18.4,2407,175,1168,112
18.5,2406,177,1168,110
18.6,2407,175,1170,112
18.7,2407,178,1171,114
18.9,2407,177,1171,113
19.0,2406,177,1171,110
19.1,2407,177,1169,112
19.2,2407,178,1169,109
19.3,2407,179,1170,108
19.5,2407,183,1171,109
19.6,2408,182,1170,112
19.7,2406,182,1173,110
19.8,2407,181,1171,113
19.9,2407,179,1170,110
20.1,2407,182,1171,112
20.2,2407,182,1172,110
20.3,2408,183,1171,109
20.4,2407,183,1169,113
20.5,2406,181,1173,110
20.7,2407,182,1173,109
20.8,2408,181,1173,112
20.9,2406,182,1170,109
21.0,2408,179,1171,111
21.1,2407,181,1173,109
21.3,2408,179,1173,112
21.4,2407,179,1174,109
21.5,2406,178,1174,112
21.6,2407,179,1173,109
21.7,2408,178,1172,109
21.9,2407,178,1171,110
22.0,2407,177,1175,113
22.1,2407,175,1173,109
22.2,2407,174,1173,113
22.3,2406,175,1175,111
22.5,2407,173,1173,113
22.6,2408,172,1174,109
22.7,2408,174,1173,114
22.8,2408,174,1172,113
22.9,2408,170,1176,112
23.1,2408,168,1175,109
23.2,2407,171,1176,111
23.3,2407,171,1177,109
23.4,2406,170,1177,112
23.5,2408,171,1178,109
23.7,2407,170,1179,111
23.8,2407,170,1178,113
23.9,2407,169,1175,113
24.0,2407,169,1176,112
24.1,2407,170,1176,113
24.3,2407,168,1177,112
24.4,2406,169,1180,112
24.5,2406,162,1178,111
24.6,2407,160,1177,110
24.7,2407,166,1178,111
24.9,2406,167,1179,112
25.0,2407,167,1180,112
25.1,2408,161,1177,112
25.2,2408,160,1179,112
25.3,2405,161,1179,111
25.5,2407,163,1182,112
25.6,2407,166,1184,111
25.7,2407,163,1184,112
25.8,2407,161,1182,111
25.9,2406,164,1185,108
26.1,2408,161,1183,112
26.2,2408,166,1184,109
26.3,2408,166,1184,113
26.4,2407,167,1183,112
26.5,2408,164,1184,113
26.7,2407,164,1183,112
26.8,2409,164,1183,112
26.9,2406,164,1184,112
27.0,2408,163,1184,111
27.1,2407,165,1184,109
27.3,2407,165,1185,111
27.4,2408,164,1184,112
27.5,2408,164,1184,111
27.6,2407,164,1185,112
27.7,2408,160,1185,112
27.9,2407,156,1184,112
28.0,2408,159,1184,112
28.1,2408,158,1183,111
28.2,2406,156,1184,112
28.3,2408,159,1183,111
28.5,2407,159,1183,110
28.6,2408,160,1184,111
28.7,2407,159,1187,111
28.8,2408,156,1186,109
28.9,2407,162,1186,111
29.1,2408,163,1186,112
29.2,2408,162,1185,111
29.3,2407,163,1185,111
29.4,2408,160,1184,112
29.5,2408,163,1187,112
29.7,2408,162,1185,110
29.8,2406,163,1185,111
29.9,2408,164,1188,112
