elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
0.0,1329,218,979,123
0.1,2404,175,1061,113
0.3,2404,168,1058,107
0.4,2404,167,1064,110
0.5,2404,165,1065,106
0.6,2405,165,1071,110
0.7,2405,166,1078,109
0.9,2404,164,1089,110
1.0,2407,163,1097,106
1.1,2405,163,1102,108
1.2,2405,164,1106,109
1.3,2406,163,1112,109
1.5,2404,164,1117,106
1.6,2405,163,1122,109
1.7,2406,165,1126,106
1.8,2405,162,1132,109
1.9,2405,162,1137,107
2.1,2405,163,1141,108
2.2,2405,164,1144,106
2.3,2406,159,1146,109
2.4,2406,160,1148,110
2.5,2406,163,1153,105
2.7,2405,163,1155,106
2.8,2404,164,1156,110
2.9,2405,162,1158,110
3.0,2405,162,1159,108
3.1,2405,163,1161,104
3.3,2405,159,1164,109
3.4,2405,158,1163,109
3.5,2405,158,1164,109
3.6,2406,158,1165,109
3.7,2404,162,1162,106
3.9,2406,162,1164,106
4.0,2406,161,1165,109
4.1,2405,158,1166,109
4.2,2405,156,1167,108
4.3,2406,158,1165,109
4.5,2405,163,1164,109
4.6,2404,163,1165,108
4.7,2406,164,1163,109
4.8,2405,165,1164,110
4.9,2405,161,1166,109
5.1,2406,163,1164,107
5.2,2406,162,1165,109
5.3,2405,163,1164,105
5.4,2404,162,1163,109
5.5,2405,163,1165,106
5.7,2405,163,1164,108
5.8,2404,165,1164,105
5.9,2406,162,1164,110
6.0,2406,163,1164,107
6.1,2405,162,1163,110
6.3,2406,162,1164,108
6.4,2405,161,1163,111
6.5,2405,159,1163,107
6.6,2405,154,1164,111
6.7,2406,159,1165,107
6.9,2407,158,1164,109
7.0,2405,164,1163,107
7.1,2406,159,1164,109
7.2,2406,158,1166,109
7.3,2406,161,1165,111
7.5,2406,159,1166,108
7.6,2406,156,1166,111
7.7,2406,157,1165,111
7.8,2406,158,1162,111
7.9,2406,162,1163,111
8.1,2406,157,1166,111
8.2,2407,157,1165,112
8.3,2406,157,1164,111
8.4,2407,158,1163,111
8.5,2406,156,1163,111
8.7,2406,160,1163,111
8.8,2407,160,1164,113
8.9,2405,161,1166,108
9.0,2405,159,1165,111
9.1,2406,160,1163,109
9.3,2406,161,1164,110
9.4,2407,161,1166,110
9.5,2407,163,1165,112
9.6,2405,161,1162,112
9.7,2408,161,1166,112
9.9,2407,161,1165,111
10.0,2406,158,1166,113
10.1,2406,156,1164,111
10.2,2406,154,1167,111
10.3,2405,161,1168,113
10.5,2406,161,1166,111
10.6,2406,162,1167,112
10.7,2405,162,1167,116
10.8,2406,162,1165,114
10.9,2406,161,1167,112
11.1,2406,162,1167,111
11.2,2407,163,1167,112
11.3,2405,161,1166,112
11.4,2407,161,1166,112
11.5,2405,160,1164,112
11.7,2406,160,1166,112
11.8,2407,160,1166,112
11.9,2407,160,1167,112
12.0,2406,159,1166,113
12.1,2408,160,1167,112
12.3,2405,161,1168,113
12.4,2407,160,1168,113
12.5,2407,160,1167,114
12.6,2404,161,1168,115
12.7,2406,160,1169,115
12.9,2406,162,1168,113
13.0,2407,163,1167,113
13.1,2406,170,1165,114
13.2,2405,168,1166,114
13.3,2406,168,1167,110
13.5,2407,168,1167,110
13.6,2407,169,1169,110
13.7,2408,168,1168,110
13.8,2407,167,1166,114
13.9,2406,167,1167,111
14.1,2407,168,1167,110
14.2,2406,168,1169,110
14.3,2407,166,1168,113
