elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
14.3,2410,180,1349,92
14.4,2410,179,1345,91
14.5,2410,179,1345,91
14.7,2410,180,1345,86
14.8,2411,181,1346,89
14.9,2410,181,1345,87
15.0,2409,181,1342,89
15.1,2412,181,1343,87
15.3,2412,180,1342,89
15.4,2408,176,1342,89
15.5,2413,176,1342,88
15.6,2410,174,1338,89
15.7,2412,175,1340,89
15.9,2411,177,1339,88
16.0,2412,177,1339,87
16.1,2412,179,1338,89
16.2,2412,180,1339,88
16.3,2411,179,1339,88
16.5,2411,181,1337,89
16.6,2413,180,1328,89
16.7,2411,180,1337,88
16.8,2411,181,1336,89
16.9,2411,182,1336,88
17.1,2412,180,1336,90
17.2,2411,181,1335,89
17.3,2412,181,1335,91
17.4,2411,180,1333,90
17.5,2413,179,1336,89
17.7,2411,180,1335,90
17.8,2409,179,1334,90
17.9,2411,179,1334,90
18.0,2411,178,1335,90
18.1,2412,177,1334,88
18.3,2412,177,1334,92
18.4,2413,176,1334,91
18.5,2413,176,1334,92
18.6,2413,176,1333,92
18.7,2412,175,1329,91
18.9,2410,173,1321,93
19.0,2412,173,1320,94
19.1,2413,175,1332,93
19.2,2412,175,1326,94
19.3,2412,173,1330,93
19.5,2413,171,1325,94
19.6,2411,164,1330,97
19.7,2411,170,1333,97
19.8,2413,168,1330,95
19.9,2411,169,1332,96
20.1,2413,168,1333,99
20.2,2412,169,1333,99
20.3,2412,168,1333,99
20.4,2412,167,1321,99
20.5,2413,165,1332,98
20.7,2411,165,1330,102
20.8,2412,165,1321,102
20.9,2413,164,1330,103
21.0,2413,164,1331,103
21.1,2412,162,1331,103
21.3,2412,166,1326,105
21.4,2412,165,1332,106
21.5,2412,162,1333,106
21.6,2412,164,1332,108
21.7,2413,163,1333,107
21.9,2413,164,1332,110
22.0,2411,163,1333,110
22.1,2413,163,1334,111
22.2,2413,160,1333,111
22.3,2413,163,1331,112
22.5,2410,162,1332,112
22.6,2413,163,1333,113
22.7,2412,162,1329,112
22.8,2412,162,1328,114
22.9,2411,160,1333,112
23.1,2412,161,1333,115
23.2,2411,161,1326,114
23.3,2411,161,1328,118
23.4,2412,159,1331,115
23.5,2410,160,1331,113
23.7,2413,161,1332,117
23.8,2411,161,1332,114
23.9,2413,162,1331,115
24.0,2414,161,1332,115
24.1,2413,160,1333,116
24.3,2411,161,1329,116
24.4,2410,162,1331,115
24.5,2412,162,1332,116
24.6,2410,162,1332,114
24.7,2411,161,1333,115
24.9,2411,162,1332,114
25.0,2410,164,1329,113
25.1,2411,161,1320,113
25.2,2410,164,1332,112
25.3,2411,163,1332,113
25.5,2410,165,1329,108
25.6,2410,165,1330,111
25.7,2410,165,1328,107
25.8,2410,161,1328,109
25.9,2410,164,1328,109
26.1,2411,165,1329,109
26.2,2409,164,1322,108
26.3,2412,164,1328,110
26.4,2411,165,1328,106
26.5,2411,164,1316,108
26.7,2411,167,1324,107
26.8,2411,165,1325,107
26.9,2410,168,1324,103
27.0,2412,168,1325,104
27.1,2411,162,1324,101
27.3,2411,169,1324,100
27.4,2411,168,1324,97
27.5,2411,170,1321,97
27.6,2410,171,1320,95
27.7,2411,171,1324,98
27.9,2411,174,1314,93
28.0,2410,174,1320,97
28.1,2411,173,1322,93
28.2,2410,172,1320,95
28.3,2412,173,1315,94
28.5,2411,174,1318,90
28.6,2411,175,1313,89
28.7,2410,175,1319,91
28.8,2413,175,1319,88
28.9,2411,174,1311,91
29.1,2412,176,1318,87
29.2,2411,177,1312,90
29.3,2412,177,1317,91
29.4,2411,178,1316,89
29.5,2411,177,1318,90
29.7,2410,178,1318,86
29.8,2410,179,1318,88
29.9,2412,180,1318,87
