elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
0.0,1375,236,1084,113
0.1,2410,186,1153,96
0.3,2411,184,1160,95
0.4,2410,182,1173,95
0.5,2410,180,1178,94
0.6,2411,179,1187,94
0.7,2411,180,1193,92
0.9,2409,178,1205,94
1.0,2411,178,1213,93
1.1,2411,178,1222,91
1.2,2410,177,1222,95
1.3,2410,177,1236,89
1.5,2410,177,1241,91
1.6,2411,176,1250,90
1.7,2411,176,1256,92
1.8,2410,176,1259,91
1.9,2410,175,1264,90
2.1,2410,177,1274,94
2.2,2411,176,1279,93
2.3,2411,176,1281,92
2.4,2411,175,1285,93
2.5,2411,174,1289,92
2.7,2410,168,1292,94
2.8,2411,166,1296,93
2.9,2411,172,1295,95
3.0,2411,171,1302,94
3.1,2412,171,1306,93
3.3,2411,171,1308,96
3.4,2411,171,1309,96
3.5,2412,168,1311,97
3.6,2411,165,1315,99
3.7,2411,164,1316,96
3.9,2412,164,1320,99
4.0,2413,164,1325,98
4.1,2411,168,1328,106
4.2,2411,169,1330,103
4.3,2410,168,1330,104
4.5,2410,168,1332,107
4.6,2411,167,1333,106
4.7,2411,169,1337,108
4.8,2411,167,1338,107
4.9,2409,165,1335,105
5.1,2411,165,1339,106
5.2,2411,168,1342,107
5.3,2410,167,1345,109
5.4,2411,166,1346,107
5.5,2410,165,1348,107
5.7,2411,164,1349,109
5.8,2412,166,1350,109
5.9,2410,164,1351,109
6.0,2411,162,1353,111
6.1,2411,163,1355,111
6.3,2410,164,1355,113
6.4,2410,161,1354,113
6.5,2411,163,1356,113
6.6,2411,161,1356,113
6.7,2411,163,1358,113
6.9,2411,162,1356,115
7.0,2410,163,1358,115
7.1,2412,162,1354,113
7.2,2411,162,1359,115
7.3,2410,163,1359,116
7.5,2412,158,1360,116
7.6,2411,158,1361,115
7.7,2411,158,1359,116
7.8,2409,161,1362,117
7.9,2411,161,1361,115
8.1,2409,163,1362,117
8.2,2409,162,1361,116
8.3,2411,159,1357,116
8.4,2411,163,1360,116
8.5,2410,163,1362,115
8.7,2409,164,1364,115
8.8,2410,164,1362,115
8.9,2410,165,1356,115
9.0,2410,162,1359,114
9.1,2409,162,1363,114
9.3,2408,164,1363,113
9.4,2409,162,1362,114
9.5,2410,164,1361,112
9.6,2412,162,1363,108
9.7,2410,164,1362,111
9.9,2410,165,1361,111
10.0,2411,166,1360,111
10.1,2411,161,1351,111
10.2,2410,159,1358,109
10.3,2410,165,1360,109
10.5,2409,167,1358,108
10.6,2410,167,1361,108
10.7,2410,163,1360,108
10.8,2411,164,1359,108
10.9,2410,167,1349,106
11.1,2411,169,1359,102
11.2,2410,166,1360,106
11.3,2410,169,1362,101
11.4,2411,166,1352,102
11.5,2411,169,1361,103
11.7,2410,169,1360,102
11.8,2408,170,1362,98
11.9,2411,171,1361,100
12.0,2410,170,1360,98
12.1,2410,164,1360,100
12.3,2409,168,1360,97
12.4,2410,169,1361,98
12.5,2411,174,1360,96
12.6,2412,174,1360,98
12.7,2410,172,1359,97
12.9,2411,174,1358,94
13.0,2410,175,1359,93
13.1,2409,176,1347,95
13.2,2411,176,1356,93
13.3,2411,175,1352,96
13.5,2411,176,1357,93
13.6,2410,176,1355,95
13.7,2412,177,1354,91
13.8,2410,174,1352,93
13.9,2410,176,1341,93
14.1,2410,179,1350,90
14.2,2411,178,1339,88
