# ingest sink, старт 2026-08-23T13:30:49
elapsed_s,water_ml,event,v12a_raw,v12a_mv,v12b_raw,v12b_mv,v20a_raw,v20a_mv,v20b_raw,v20b_mv,air_t,air_h
114.4,0.0,,1013,870,1033,888,35,25,97,77,,
115.4,0.0,,1012,871,1032,888,44,33,99,79,,
116.4,0.0,,1013,872,1031,885,35,25,100,80,,
117.4,0.0,,1013,871,1030,887,38,28,99,79,,
118.4,0.0,,1012,872,1033,887,36,26,98,77,,
119.4,0.0,,1015,870,1034,888,43,32,94,74,,
120.4,0.0,,1015,869,1033,887,37,27,90,72,,
121.4,0.0,,1014,871,1031,887,39,29,98,78,,
122.4,0.0,,1013,872,1034,884,14,9,39,28,,
123.4,0.0,,1013,872,1029,889,49,37,98,77,,
124.4,0.0,,1014,870,1035,884,34,26,47,33,,
125.4,0.0,,1013,871,1033,888,40,29,99,78,,
126.4,0.0,,1012,869,1034,887,42,31,99,79,,
127.4,0.0,,1014,872,1034,885,49,37,96,75,,
128.4,0.0,,1013,871,1031,888,16,10,42,31,,
129.4,0.0,,1014,872,1032,887,49,37,98,77,,
130.4,0.0,,1014,869,1033,886,42,32,100,79,,
131.4,0.0,,1013,872,1031,888,15,9,44,31,,
132.4,0.0,,1014,871,1032,888,19,11,103,82,,
133.4,0.0,,1012,871,1033,885,50,37,99,78,,
134.4,0.0,,1013,871,1033,886,43,32,102,81,,
135.4,0.0,,1013,870,1033,885,43,33,101,81,,
136.4,0.0,,1013,870,1033,886,17,11,46,33,,
137.4,0.0,,1013,871,1033,887,57,44,81,63,,
138.4,0.0,,1012,871,1031,885,45,34,102,81,,
139.4,0.0,,1012,871,1032,887,15,10,47,34,,
140.4,0.0,,1012,871,1031,886,15,10,49,35,,
141.4,0.0,,1012,871,1034,886,15,10,92,72,,
142.4,0.0,,1013,870,1033,886,44,33,101,80,,
143.4,0.0,,1014,871,1034,886,44,32,101,80,,
144.4,0.0,,1014,871,1034,885,51,38,98,77,,
145.4,0.0,,1013,871,1032,887,55,43,105,83,,
146.4,0.0,,1014,871,1033,888,45,35,101,80,,
147.4,0.0,,1013,871,1033,885,47,36,102,80,,
148.4,0.0,,1013,871,1032,887,51,38,97,76,,
