elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
13.7,2099,147,856,110
13.8,2107,145,854,111
13.9,2101,143,856,113
14.1,2105,148,857,112
14.2,2104,147,857,112
14.3,2104,147,856,112
14.4,2106,145,856,112
14.5,2102,149,856,112
14.7,2102,141,856,111
14.8,2100,147,853,112
14.9,2105,144,854,110
15.0,2101,148,855,111
15.1,2106,143,853,115
15.3,2106,145,854,114
15.4,2100,143,855,114
15.5,2103,142,855,112
15.6,2099,140,854,110
15.7,2103,148,854,109
15.9,2099,142,856,110
16.0,2101,145,855,110
16.1,2100,144,858,109
16.2,2101,146,856,112
16.3,2101,146,854,113
16.5,2101,149,855,113
16.6,2102,147,855,112
16.7,2100,148,856,110
16.8,2098,147,858,111
16.9,2100,150,857,112
17.1,2101,147,856,110
17.2,2098,150,855,109
17.3,2098,147,854,107
17.4,2101,149,854,109
17.5,2097,148,855,109
17.7,2100,152,855,109
17.8,2101,148,853,107
17.9,2100,149,854,108
18.0,2102,144,855,107
18.1,2099,152,854,106
18.3,2101,144,854,105
18.4,2094,150,853,105
18.5,2101,148,857,105
18.6,2101,150,855,105
18.7,2098,148,855,105
18.9,2101,151,856,105
19.0,2101,149,857,103
19.1,2101,150,854,104
19.2,2099,150,855,103
19.3,2098,151,855,102
19.5,2104,151,855,102
19.6,2101,152,855,102
19.7,2101,152,855,101
19.8,2102,154,854,100
19.9,2102,153,854,102
20.1,2102,155,856,101
20.2,2114,155,856,101
20.3,2101,154,857,101
20.4,2100,156,856,100
20.5,2101,155,855,99
20.7,2096,149,855,99
20.8,2102,154,857,95
20.9,2097,153,855,97
21.0,2099,150,856,93
21.1,2102,150,858,96
21.3,2099,157,860,96
21.4,2100,155,859,96
21.5,2101,157,857,95
21.6,2103,156,858,94
21.7,2096,159,860,94
21.9,2101,156,860,93
22.0,2096,158,860,92
22.1,2103,158,858,93
22.2,2100,160,857,92
22.3,2100,158,857,92
22.5,2102,159,858,93
22.6,2105,157,858,92
22.7,2098,160,860,93
22.8,2099,162,858,92
22.9,2102,160,856,91
23.1,2103,158,860,90
23.2,2101,163,857,87
23.3,2099,161,858,90
23.4,2101,164,858,86
23.5,2102,162,857,88
23.7,2099,165,856,87
23.8,2107,163,856,88
23.9,2102,164,856,88
24.0,2101,163,857,87
24.1,2104,167,856,84
24.3,2100,167,857,86
24.4,2100,168,857,86
24.5,2102,165,857,85
24.6,2106,166,856,86
24.7,2100,167,855,86
24.9,2098,168,855,83
25.0,2095,168,857,85
25.1,2094,167,856,85
25.2,2101,165,856,84
25.3,2101,168,856,83
25.5,2099,168,857,83
25.6,2097,168,856,84
25.7,2103,169,857,85
25.8,2101,170,856,83
25.9,2103,167,857,83
26.1,2101,168,856,83
26.2,2099,168,854,82
26.3,2103,169,854,83
26.4,2102,168,855,82
26.5,2098,167,857,83
26.7,2099,165,855,85
26.8,2099,166,854,85
26.9,2098,165,852,83
27.0,2101,165,856,85
27.1,2101,167,855,84
27.3,2101,167,857,86
27.4,2096,162,854,85
27.5,2100,167,856,84
27.6,2097,166,856,84
27.7,2103,168,855,85
27.9,2099,166,856,84
28.0,2101,165,853,86
28.1,2098,165,855,85
28.2,2103,163,856,82
28.3,2100,162,856,82
28.5,2098,162,855,83
28.6,2101,162,856,82
28.7,2106,163,857,81
28.8,2102,169,855,83
28.9,2099,168,855,84
29.1,2104,168,855,82
29.2,2103,164,857,84
29.3,2101,168,854,81
29.4,2098,168,856,84
29.5,2102,166,854,83
29.7,2101,166,855,83
29.8,2101,165,856,85
29.9,2103,166,855,83
