elapsed_s,v12a_mv,v12b_mv,v20a_mv,v20b_mv
0.0,539,158,314,86
0.1,1971,183,769,88
0.3,2074,176,848,88
0.4,2091,172,865,87
0.5,2096,166,870,85
0.6,2092,170,876,87
0.7,2098,170,876,87
0.9,2093,170,876,87
1.0,2093,168,875,85
1.1,2100,168,876,85
1.2,2100,165,869,86
1.3,2097,162,870,87
1.5,2100,165,871,86
1.6,2099,167,872,86
1.7,2098,166,870,85
1.8,2099,167,871,86
1.9,2097,165,867,85
2.1,2096,164,870,86
2.2,2096,163,867,87
2.3,2099,165,868,86
2.4,2107,165,867,86
2.5,2102,164,864,86
2.7,2096,164,865,87
2.8,2100,163,868,88
2.9,2101,163,865,87
3.0,2099,162,866,87
3.1,2097,161,869,90
3.3,2103,162,868,88
3.4,2096,160,864,90
3.5,2106,159,864,89
3.6,2100,156,863,92
3.7,2102,160,865,93
3.9,2101,159,864,87
4.0,2099,159,863,92
4.1,2099,160,865,91
4.2,2099,161,862,89
4.3,2099,158,862,91
4.5,2099,158,863,92
4.6,2098,156,862,91
4.7,2100,157,861,89
4.8,2102,157,861,90
4.9,2101,158,861,91
5.1,2101,156,863,88
5.2,2100,158,863,92
5.3,2100,157,862,90
5.4,2101,158,862,91
5.5,2100,155,862,93
5.7,2102,156,861,94
5.8,2100,155,864,94
5.9,2100,155,861,93
6.0,2099,155,861,95
6.1,2100,154,862,94
6.3,2112,154,862,95
6.4,2099,155,863,96
6.5,2095,151,861,94
6.6,2102,149,861,96
6.7,2098,147,861,97
6.9,2100,153,861,96
7.0,2098,153,861,97
7.1,2101,153,861,96
7.2,2102,151,860,98
7.3,2103,149,860,97
7.5,2099,145,860,100
7.6,2106,148,860,100
7.7,2100,146,860,98
7.8,2103,149,859,99
7.9,2103,145,860,101
8.1,2100,147,860,103
8.2,2108,144,859,102
8.3,2101,151,861,100
8.4,2101,149,859,103
8.5,2100,151,860,102
8.7,2101,149,857,102
8.8,2104,150,859,102
8.9,2099,150,860,103
9.0,2102,145,860,103
9.1,2107,142,859,104
9.3,2103,145,859,105
9.4,2104,143,861,104
9.5,2108,148,861,103
9.6,2098,149,860,107
9.7,2107,147,861,106
9.9,2101,140,859,107
10.0,2101,149,860,106
10.1,2100,148,858,105
10.2,2100,149,858,106
10.3,2099,147,856,106
10.5,2099,149,858,106
10.6,2100,147,857,107
10.7,2100,149,859,107
10.8,2101,146,856,108
10.9,2099,149,859,108
11.1,2102,146,857,109
11.2,2101,149,853,110
11.3,2100,147,855,108
11.4,2098,149,856,110
11.5,2109,147,857,109
11.7,2100,150,856,111
11.8,2103,147,856,110
11.9,2098,149,857,109
12.0,2100,148,856,111
12.1,2100,149,857,112
12.3,2101,146,858,111
12.4,2099,148,854,112
12.5,2099,146,857,111
12.6,2098,148,856,112
12.7,2101,146,856,111
12.9,2102,147,857,113
13.0,2102,142,857,112
13.1,2101,147,857,112
13.2,2107,146,858,112
13.3,2101,148,858,113
13.5,2103,147,857,112
13.6,2100,148,855,111
