id,node_id,source,code,name,context,timestamp
83,gateway,gateway,3,crc_error_burst,600,2026-08-24 20:07:24.172926
84,gateway,gateway,3,crc_error_burst,610,2026-08-24 20:22:24.365095
85,gateway,gateway,3,crc_error_burst,620,2026-08-24 20:37:30.591076
86,gateway,gateway,3,crc_error_burst,630,2026-08-24 20:52:36.742889
87,gateway,gateway,3,crc_error_burst,640,2026-08-24 21:12:24.830310
88,gateway,gateway,3,crc_error_burst,650,2026-08-24 21:27:31.017569
89,gateway,gateway,3,crc_error_burst,660,2026-08-24 21:42:37.194718
90,gateway,gateway,3,crc_error_burst,670,2026-08-24 22:02:27.241564
91,gateway,gateway,3,crc_error_burst,680,2026-08-24 22:17:27.337592
92,gateway,gateway,3,crc_error_burst,690,2026-08-24 22:32:33.515576
93,gateway,gateway,3,crc_error_burst,700,2026-08-24 22:47:33.640965
94,gateway,gateway,3,crc_error_burst,710,2026-08-24 23:02:39.779537
95,gateway,gateway,3,crc_error_burst,720,2026-08-24 23:22:23.889527
96,gateway,gateway,3,crc_error_burst,730,2026-08-24 23:37:34.225235
97,gateway,gateway,3,crc_error_burst,740,2026-08-24 23:52:40.363377
98,gateway,gateway,3,crc_error_burst,750,2026-08-25 00:12:24.439481
99,gateway,gateway,3,crc_error_burst,760,2026-08-25 00:22:46.703510
100,gateway,gateway,3,crc_error_burst,770,2026-08-25 00:37:36.765631
101,gateway,gateway,3,crc_error_burst,780,2026-08-25 00:52:36.966699
102,gateway,gateway,3,crc_error_burst,790,2026-08-25 01:07:41.160927
103,gateway,gateway,3,crc_error_burst,800,2026-08-25 01:27:25.115291
104,gateway,gateway,3,crc_error_burst,810,2026-08-25 01:42:37.398096
105,gateway,gateway,3,crc_error_burst,820,2026-08-25 01:57:37.496938
106,gateway,gateway,3,crc_error_burst,830,2026-08-25 02:17:25.515313
107,gateway,gateway,3,crc_error_burst,840,2026-08-25 02:32:31.694661
108,gateway,gateway,3,crc_error_burst,850,2026-08-25 02:47:25.683142
109,gateway,gateway,3,crc_error_burst,860,2026-08-25 03:02:25.765489
110,gateway,gateway,3,crc_error_burst,870,2026-08-25 03:17:25.830083
111,gateway,gateway,3,crc_error_burst,880,2026-08-25 03:32:31.974357
112,gateway,gateway,3,crc_error_burst,890,2026-08-25 03:47:38.113195
113,gateway,gateway,3,crc_error_burst,900,2026-08-25 04:07:26.197563
114,gateway,gateway,3,crc_error_burst,910,2026-08-25 04:09:57.198338
115,gateway,gateway,3,crc_error_burst,920,2026-08-25 04:11:45.947296
116,gateway,gateway,3,crc_error_burst,930,2026-08-25 04:22:26.267156
117,gateway,gateway,3,crc_error_burst,940,2026-08-25 04:42:28.442310
118,gateway,gateway,3,crc_error_burst,950,2026-08-25 04:52:34.073122
119,gateway,gateway,3,crc_error_burst,960,2026-08-25 05:02:44.040484
120,gateway,gateway,3,crc_error_burst,970,2026-08-25 05:17:40.901505
121,gateway,gateway,3,crc_error_burst,980,2026-08-25 05:32:47.400540
122,gateway,gateway,3,crc_error_burst,990,2026-08-25 05:47:28.410190
123,gateway,gateway,3,crc_error_burst,1000,2026-08-25 06:07:29.155358
124,gateway,gateway,3,crc_error_burst,1010,2026-08-25 06:17:45.374874
125,gateway,gateway,5,network_backlog_dropped,711,2026-08-25 13:05:37.481106
126,stage3-lowpower,node,8,air_sensor_nan,274,2026-08-25 13:07:48.985097
127,stage3-lowpower,node,8,air_sensor_nan,275,2026-08-25 13:12:39.074749
128,gateway,gateway,3,crc_error_burst,20,2026-08-25 13:12:45.980131
129,stage3-lowpower,node,8,air_sensor_nan,276,2026-08-25 13:17:55.891198
130,stage3-lowpower,node,8,air_sensor_nan,277,2026-08-25 13:22:37.505068
131,stage3-lowpower,node,8,air_sensor_nan,277,2026-08-25 13:22:48.958456
132,stage3-lowpower,node,8,air_sensor_nan,277,2026-08-25 13:22:48.991853
133,gateway,gateway,5,network_backlog_dropped,42,2026-08-25 13:28:48.895404
134,stage3-lowpower,node,8,air_sensor_nan,279,2026-08-25 13:32:45.774971
135,gateway,gateway,3,crc_error_burst,30,2026-08-25 13:33:13.194430
136,gateway,gateway,5,network_backlog_dropped,167,2026-08-25 13:41:00.769009
137,stage3-lowpower,node,8,air_sensor_nan,281,2026-08-25 13:43:41.514084
138,stage3-lowpower,node,8,air_sensor_nan,282,2026-08-25 13:47:39.001740
139,stage3-lowpower,node,8,air_sensor_nan,282,2026-08-25 13:47:42.489826
140,stage3-lowpower,node,8,air_sensor_nan,282,2026-08-25 13:47:56.341934
141,stage3-lowpower,node,8,air_sensor_nan,283,2026-08-25 13:52:35.740237
142,stage3-lowpower,node,8,air_sensor_nan,283,2026-08-25 13:52:39.150326
143,gateway,gateway,3,crc_error_burst,40,2026-08-25 13:52:42.702956
144,stage3-lowpower,node,8,air_sensor_nan,284,2026-08-25 13:57:56.362979
145,gateway,gateway,3,crc_error_burst,50,2026-08-25 14:01:47.053738
146,stage3-lowpower,node,8,air_sensor_nan,285,2026-08-25 14:02:35.407044
